Voti Fantacalcio 36 giornata di campionato,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
Solo su www.fantacalcio.it i voti ufficiali per la tua lega,,,,,,,,,,,,,,,
QUESTO FILE NON PUO' ESSERE RIPRODOTTO NE' PUBBLICATO SU ALTRI SITI INTERNET,,,,,,,,,,,,,,,
E' DA CONSIDERARSI AD USO PERSONALE ESCLUSIVO DEGLI ISCRITTI DI FANTACALCIO.IT,,,,,,,,,,,,,,,
ATALANTA,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Asf,Gdv,Gdp
610,P,GOLLINI,5.5,0,1,0,0,0,0,0,0,0,0,0,0
2197,D,CASTAGNE,6,0,0,0,0,0,0,0,0,0,0,0,0
787,D,DJIMSITI,6.5,0,0,0,0,0,0,0,0,0,0,0,0
4888,D,SUTALO,6.5,0,0,0,0,0,0,0,0,0,0,0,0
2160,D,GOSENS,6.5,0,0,0,0,0,0,0,0,0,0,0,0
1847,D,CALDARA,6,0,0,0,0,0,0,0,0,0,0,0,0
2130,D,HATEBOER,5.5,0,0,0,0,0,0,0,0,0,0,0,0
695,D,TOLOI,5.5,0,0,0,0,0,0,1,0,0,0,0,0
22,C,DE ROON,6,0,0,0,0,0,0,0,0,0,0,0,0
788,C,FREULER,6.5,0,0,0,0,0,0,0,0,0,0,0,0
26,C,GOMEZ,6.5,0,0,0,0,0,0,0,0,0,0,0,0
4427,C,MALINOVSKYI,5,0,0,0,1,0,0,0,0,0,0,0,0
2077,C,PASALIC,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4435,C,COLLEY E.,6*,0,0,0,0,0,0,0,0,0,0,0,0
608,A,ZAPATA D.,7,1,0,0,0,0,0,0,0,0,0,0,1
507,A,MURIEL,6.5,0,0,0,0,0,0,0,0,0,0,0,0
684,ALL,GASPERINI,6,0,0,0,0,0,0,0,0,0,0,0,0
BOLOGNA,,,,,,,,,,,,,,,
Cod.,Ruolo,Nome,Voto,Gf,Gs,Rp,Rs,Rf,Au,Amm,Esp,Ass,Asf,Gdv,Gdp
133,P,SKORUPSKI,5.5,0,2,0,0,0,0,0,0,0,0,0,0
578,D,DANILO LAR.,6,0,0,0,0,0,0,0,0,0,0,0,0
4414,D,DENSWIL,5.5,0,0,0,0,0,0,0,0,0,0,0,0
2746,D,DIJKS,5.5,0,0,0,0,0,0,0,0,0,0,0,0
50,D,MBAYE,6,0,0,0,0,0,0,0,0,0,0,0,0
1858,C,KREJCI,5.5,0,0,0,0,0,0,0,0,0,0,0,0
374,C,POLI,5.5,0,0,0,0,0,0,0,0,0,0,0,0
2625,C,SORIANO,7,1,0,0,0,0,0,0,0,0,0,0,0
2744,C,SVANBERG,6.5,0,0,0,0,0,0,0,0,0,0,0,0
272,C,MEDEL,6,0,0,0,0,0,0,0,0,0,0,0,0
537,A,SANSONE,5.5,0,0,0,0,0,0,0,0,0,0,0,0
2743,A,SANTANDER,5.5,0,0,0,0,0,0,0,0,0,0,0,0
4415,A,SKOV OLSEN,6,0,0,0,0,0,0,0,0,0,0,0,0
2719,A,BARROW,7.5,1,0,0,0,0,0,0,0,2,0,1,0
2167,A,ORSOLINI,6,0,0,0,0,0,0,0,0,1,0,0,0
280,A,PALACIO,6.5,1,0,0,0,0,0,1,0,0,0,0,0
687,ALL,MIHAJLOVIC,6,0,0,0,0,0,0,0,0,0,0,0,0
BRESCIA,,,,,,,,,,,,,,,
